Class,Method,Inferred Type,Original Type,Source Code,Comments
ResponsesCsvExporter,answers_table,"() -> Table<{ id: Integer, response_id: Integer, question_id: Integer, value: String, created_at: (DateTime or Time), updated_at: (DateTime or Time), questionnaire_id: Integer, saved_page: Integer, submitted: (false or true), person_id: Integer, submitted_at: (DateTime or Time), notes: String, type: String, position: Integer, caption: String, required: (false or true), min: Integer, max: Integer, step: Integer, page_id: Integer, default_answer: String, layout: String, radio_layout: String, title: String, option: String, output_value: String, __all_joined: (:answers or :pages or :question_options or :questions or :responses), __last_joined: :question_options, __selected: nil, __orm: false }>","() -> Table<{ id: Integer, response_id: Integer, question_id: Integer, value: String, created_at: (DateTime or Time), updated_at: (DateTime or Time), questionnaire_id: Integer, saved_page: Integer, submitted: (false or true), person_id: Integer, submitted_at: (DateTime or Time), notes: String, type: String, position: Integer, caption: String, required: (false or true), min: Integer, max: Integer, step: Integer, page_id: Integer, default_answer: String, layout: String, radio_layout: String, title: String, option: String, output_value: String, __all_joined: (:answers or :pages or :question_options or :questions or :responses), __last_joined: :question_options, __selected: nil, __orm: false }>","def answers_table
    db[:answers].
      inner_join(:responses, :id => :response_id).
      inner_join(:questions, :id => Sequel.qualify(:answers, :question_id)).
      inner_join(:pages, :id => Sequel.qualify(:questions, :page_id)).
      left_join(:question_options, :question_id => Sequel.qualify(:answers, :question_id), :option => Sequel.qualify(:answers, :value)).
      where(Sequel.qualify(:responses, :questionnaire_id) => questionnaire.id)
  end",""
ResponsesCsvExporter,each_row,() { (((Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })>)) -> { ResponsesCsvExporter#each_row block_ret: block_return } and ((Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })>)) -> { ResponsesCsvExporter#each_row block_ret: block_return } and ((Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })> or Array<(String or { { { { { ResponsesCsvExporter#answers_table ret: ret }#order ret: ret }#select ret: ret }#each block_arg: db_row }#[] ret: ret })>)) -> { ResponsesCsvExporter#each_row block_ret: block_return } and (Array<(DateTime or String or Time)>) -> { ResponsesCsvExporter#each_row block_ret: block_return } and (Array<String>) -> { ResponsesCsvExporter#each_row block_ret: block_return }) } -> nil,() {(%any) -> %any} -> %any,"def each_row
    if rotate
      valid_response_ids = db[:answers].select(:response_id).inner_join(:responses, :id => :response_id).where(:questionnaire_id => questionnaire.id)

      response_metadata = db[:responses].order(:id).where(:id => valid_response_ids).select(:id, :submitted_at, :notes).all
      response_ids = response_metadata.map { |resp| resp[:id] }
      yield [""id""] + response_ids
      yield [""Submitted""] + response_metadata.map { |resp| resp[:submitted_at] }
      yield [""Notes""] + response_metadata.map { |resp| resp[:notes] }

      ds = answers_table.order(Sequel.qualify(:pages, :position), Sequel.qualify(:questions, :position), Sequel.qualify(:responses, :id)).
        select(Sequel.qualify(:answers, :question_id), Sequel.qualify(:questions, :caption), Sequel.qualify(:answers, :response_id), Sequel.qualify(:answers, :value), Sequel.qualify(:question_options, :output_value))

      current_response_index = 0
      current_question_id = 0
      current_row = nil
      ds.each do |db_row|
        if db_row[:question_id] != current_question_id
          yield current_row if current_row
          current_row = [db_row[:caption]]
          current_response_index = 0
          current_question_id = db_row[:question_id]
        end

        current_response_id = response_ids[current_response_index]
        if current_response_id != db_row[:response_id]
          skip_to = response_ids.find_index(db_row[:response_id])
          if skip_to
            (skip_to - current_response_index).times { current_row << """" }
            current_response_index = skip_to
          else
            next
          end
        end

        db_row[:output_value] = nil if db_row[:output_value].blank?
        current_row << (db_row[:output_value] || db_row[:value] || """")
        current_response_index += 1
      end
      yield current_row if current_row
    else
      columns = questionnaire.fields

      header = [""id"", ""Submitted"", ""Notes""]
      header += columns.collect { |c| c.caption }
      yield header

      ds = answers_table.order(Sequel.desc(Sequel.qualify(:responses, :id)), Sequel.qualify(:pages, :position), Sequel.qualify(:questions, :position)).
        select(Sequel.qualify(:responses, :id), Sequel.qualify(:responses, :submitted_at), Sequel.qualify(:responses, :notes), Sequel.qualify(:answers, :question_id), Sequel.qualify(:answers, :value), Sequel.qualify(:question_options, :output_value))

      column_ids = columns.map(&:id)
      current_column_index = 0
      current_response_id = 0
      current_row = nil
      ds.each do |db_row|
        if db_row[:id] != current_response_id
          yield current_row if current_row
          current_row = [db_row[:id], db_row[:submitted_at], db_row[:notes]]
          current_column_index = 0
          current_response_id = db_row[:id]
        end

        current_column_id = column_ids[current_column_index]
        if current_column_id != db_row[:question_id]
          skip_to = column_ids.find_index(db_row[:question_id])
          if skip_to
            (skip_to - current_column_index).times { current_row << """" }
            current_column_index = skip_to
          else
            next
          end
        end

        db_row[:output_value] = nil if db_row[:output_value].blank?
        current_row << (db_row[:output_value] || db_row[:value] || """")
        current_column_index += 1
      end
      yield current_row if current_row
    end
  end",""
GraphsController,aggregate_questions,"((Array<Integer> or Integer)) -> Hash<Integer, Hash<String, Integer>>","((Array<Integer> or Integer)) -> Hash<Integer, Hash<String, Integer>>","def aggregate_questions(question_ids)
    db = RailsSequel.connect
    
    skip_no_answer = params[:skip_no_answer]
          
    ds = db[:answers]
    ds = ds.inner_join(:questions, :id => :answers__question_id)
    ds = ds.inner_join(:pages, :id => :questions__page_id)
    ds = ds.left_join(:question_options, :question_id => :answers__question_id, :option => :answers__value)
    ds = ds.where(:questions__id => question_ids)
    ds = ds.where(:pages__questionnaire_id => @questionnaire.id)
    ds = ds.select(:questions__id, :answers__value, :question_options__output_value)
    
    counts = {}
    ds.each do |db_row|
      question_id = db_row[:id]
      value = (db_row[:output_value] || db_row[:value])
      if value.blank?
        if skip_no_answer
          next
        else
          value = ""No answer""
        end
      end
      
      counts[question_id] ||= {}
      counts[question_id][value] ||= 0
      counts[question_id][value] += 1
    end
    
    unless skip_no_answer
      Question.where(id: question_ids).find_each do |question|
        ## MKCHANGE: get rid of use of rails scopes
        #no_answer = @questionnaire.responses.valid.no_answer_for(question).count()
        no_answer = @questionnaire.responses.where(""responses.id in (select response_id from answers)"").where(""responses.id not in (select response_id from answers where question_id = ?)"", question.id).count()
        if no_answer > 0
          counts[question.id][""No answer""] = no_answer
        end
      end
    end
    
    return counts
  end",""
GraphsController,line,() -> Array<String>,() -> Array<String>,"def line
    authorize! :view_answers, @questionnaire
    
    @questions = Question.where(id: params[:question_ids]).all
    @counts = aggregate_questions(params[:question_ids])
    @min = @questions.collect { |q| q.min }.min
    @max = @questions.collect { |q| q.max }.max
    
    @graph = Gruff::Line.new(@geom)
  
    i = 0
    @labels = {}
    @series = {}
    @min.upto(@max) do |answer|
      @labels[i] = answer.to_s
      @questions.each do |question|
        @series[question] ||= []
        @series[question] << (@counts[question.id][answer.to_s] || 0)
      end
      i += 1
    end

    @graph.labels = @labels
    @series.each do |question, values|
      @graph.data(question.caption, values)
    end

    @graph.title = ""Answer frequency""
    set_journey_theme(@graph)
    
    render text: @graph.to_blob
  end",""
GraphsController,pie,() -> Array<String>,() -> Array<String>,"def pie
    authorize! :view_answers, @questionnaire
    
    @answercounts = aggregate_questions(params[:question_id]).values.first
    @question = Question.find(params[:question_id])
    
    @graph = Gruff::Pie.new(@geom)
  
    @answercounts.each do |answer, count|
      @graph.data(answer, [count])
    end

    #@graph.title = truncate(@question.caption || ""Untitled question"")
    set_journey_theme(@graph)
    
    render text: @graph.to_blob
  end",""
RootController,get_new_questionnaires,() -> ActiveRecord_Relation<Questionnaire>,() -> ActiveRecord_Relation<Questionnaire>,"def get_new_questionnaires
    @new_questionnaires = Questionnaire.where(:publicly_visible => true, :is_open => true).order(""published_at DESC"").limit(8)
  end",""
RootController,dashboard,"() -> (ActiveRecord_Relation<JoinTable<Response, Questionnaire>> or String)",() -> %any,"def dashboard
    return index unless person_signed_in?
    
    @page_title = ""Dashboard""
    
    @my_questionnaires = QuestionnairePermission.for_person(current_person).allows_anything.
      order(""questionnaire_id DESC"").includes(:questionnaire).to_a.map(&:questionnaire).compact
    
    @responses = Response.where(:person_id => current_person.id).includes(:questionnaire).order(:created_at => :desc).limit(8)
  end",""
[s]Answer,find_answer,"([ id: () -> { { [s]Answer#find_answer arg: resp }#id ret: ret } ], Question) -> Answer","(Response, Question) -> Answer","def self.find_answer(resp, question)
    where(response_id: resp.id, question_id: question.id).first
  end",""
QuestionnairePermission,email=,((String or Symbol)) -> (Array<String> or Person),(String) -> %any,"def email=(email)
    if email.blank?
      self.person = nil
      return
    end
    
    logger.info ""Trying to find person with email #{email}""
    self.person = Person.find_by(email: email)
    if email and self.person.nil?
      logger.info ""Not found, trying Illyan invite""
      begin
        invitee = IllyanClient::Person.new(:person => { :email => email })
        invitee.save
        logger.info ""Invite successful!  Got back #{invitee.inspect}""
        
        invitee_attrs = invitee.attributes
        self.person = Person.create(:email => email, :username => email, :firstname => invitee_attrs[""firstname""], 
          :lastname => invitee_attrs[""lastname""], :gender => invitee_attrs[""gender""], :birthdate => RDL.type_cast(invitee_attrs[""birthdate""], ""DateTime"")) ## MKCHANGE
      rescue
        logger.error ""Error during invite: #{$!}""
        errors.add(:base, ""Error inviting new user #{email}: $!"")
      end
    end
  end",""
Response,answer_for_question,(Question) -> Answer,(Question) -> Answer,"def answer_for_question(question)
    answers.select { |a| a.question == question }[0]
  end",""
