Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
ResponsesCsvExporter,answers_table,Ret,"","Table<{ id: Number, response_id: Number, question_id: Number, value: String, created_at: (DateTime or Time), updated_at: (DateTime or Time), questionnaire_id: Number, saved_page: Number, submitted: (false or true), person_id: Number, submitted_at: (DateTime or Time), notes: String, type: String, position: Number, caption: String, required: (false or true), min: Number, max: Number, step: Number, page_id: Number, default_answer: String, layout: String, radio_layout: String, title: String, option: String, output_value: String, __all_joined: (:answers or :pages or :question_options or :questions or :responses), __last_joined: :question_options, __selected: nil, __orm: false }>","Table<{ id: Number, response_id: Number, question_id: Number, value: String, created_at: (DateTime or Time), updated_at: (DateTime or Time), questionnaire_id: Number, saved_page: Number, submitted: (false or true), person_id: Number, submitted_at: (DateTime or Time), notes: String, type: String, position: Number, caption: String, required: (false or true), min: Number, max: Number, step: Number, page_id: Number, default_answer: String, layout: String, radio_layout: String, title: String, option: String, output_value: String, __all_joined: (:answers or :pages or :question_options or :questions or :responses), __last_joined: :question_options, __selected: nil, __orm: false }>",E,Constraints,"def answers_table
    db[:answers].
      inner_join(:responses, :id => :response_id).
      inner_join(:questions, :id => Sequel.qualify(:answers, :question_id)).
      inner_join(:pages, :id => Sequel.qualify(:questions, :page_id)).
      left_join(:question_options, :question_id => Sequel.qualify(:answers, :question_id), :option => Sequel.qualify(:answers, :value)).
      where(Sequel.qualify(:responses, :questionnaire_id) => questionnaire.id)
  end"
ResponsesCsvExporter,each_row,Ret,"",nil,%any,E,Constraints,"def each_row
    if rotate
      valid_response_ids = db[:answers].select(:response_id).inner_join(:responses, :id => :response_id).where(:questionnaire_id => questionnaire.id)

      response_metadata = db[:responses].order(:id).where(:id => valid_response_ids).select(:id, :submitted_at, :notes).all
      response_ids = response_metadata.map { |resp| resp[:id] }
      yield [""id""] + response_ids
      yield [""Submitted""] + response_metadata.map { |resp| resp[:submitted_at] }
      yield [""Notes""] + response_metadata.map { |resp| resp[:notes] }

      ds = answers_table.order(Sequel.qualify(:pages, :position), Sequel.qualify(:questions, :position), Sequel.qualify(:responses, :id)).
        select(Sequel.qualify(:answers, :question_id), Sequel.qualify(:questions, :caption), Sequel.qualify(:answers, :response_id), Sequel.qualify(:answers, :value), Sequel.qualify(:question_options, :output_value))

      current_response_index = 0
      current_question_id = 0
      current_row = nil
      ds.each do |db_row|
        if db_row[:question_id] != current_question_id
          yield current_row if current_row
          current_row = [db_row[:caption]]
          current_response_index = 0
          current_question_id = db_row[:question_id]
        end

        current_response_id = response_ids[current_response_index]
        if current_response_id != db_row[:response_id]
          skip_to = response_ids.find_index(db_row[:response_id])
          if skip_to
            (skip_to - current_response_index).times { current_row << """" }
            current_response_index = skip_to
          else
            next
          end
        end

        db_row[:output_value] = nil if db_row[:output_value].blank?
        current_row << (db_row[:output_value] || db_row[:value] || """")
        current_response_index += 1
      end
      yield current_row if current_row
    else
      columns = questionnaire.fields

      header = [""id"", ""Submitted"", ""Notes""]
      header += columns.collect { |c| c.caption }
      yield header

      ds = answers_table.order(Sequel.desc(Sequel.qualify(:responses, :id)), Sequel.qualify(:pages, :position), Sequel.qualify(:questions, :position)).
        select(Sequel.qualify(:responses, :id), Sequel.qualify(:responses, :submitted_at), Sequel.qualify(:responses, :notes), Sequel.qualify(:answers, :question_id), Sequel.qualify(:answers, :value), Sequel.qualify(:question_options, :output_value))

      column_ids = columns.map(&:id)
      current_column_index = 0
      current_response_id = 0
      current_row = nil
      ds.each do |db_row|
        if db_row[:id] != current_response_id
          yield current_row if current_row
          current_row = [db_row[:id], db_row[:submitted_at], db_row[:notes]]
          current_column_index = 0
          current_response_id = db_row[:id]
        end

        current_column_id = column_ids[current_column_index]
        if current_column_id != db_row[:question_id]
          skip_to = column_ids.find_index(db_row[:question_id])
          if skip_to
            (skip_to - current_column_index).times { current_row << """" }
            current_column_index = skip_to
          else
            next
          end
        end

        db_row[:output_value] = nil if db_row[:output_value].blank?
        current_row << (db_row[:output_value] || db_row[:value] || """")
        current_column_index += 1
      end
      yield current_row if current_row
    end
  end"
GraphsController,@questionnaire,Var,@questionnaire,Questionnaire,Questionnaire,E,Heur: is_model,""
GraphsController,aggregate_questions,Arg,question_ids,(Array<Number> or Number),(Array<Number> or Number),E,Constraints,"def aggregate_questions(question_ids)
    db = RailsSequel.connect
    
    skip_no_answer = params[:skip_no_answer]
          
    ds = db[:answers]
    ds = ds.inner_join(:questions, :id => :answers__question_id)
    ds = ds.inner_join(:pages, :id => :questions__page_id)
    ds = ds.left_join(:question_options, :question_id => :answers__question_id, :option => :answers__value)
    ds = ds.where(:questions__id => question_ids)
    ds = ds.where(:pages__questionnaire_id => @questionnaire.id)
    ds = ds.select(:questions__id, :answers__value, :question_options__output_value)
    
    counts = {}
    ds.each do |db_row|
      question_id = db_row[:id]
      value = (db_row[:output_value] || db_row[:value])
      if value.blank?
        if skip_no_answer
          next
        else
          value = ""No answer""
        end
      end
      
      counts[question_id] ||= {}
      counts[question_id][value] ||= 0
      counts[question_id][value] += 1
    end
    
    unless skip_no_answer
      Question.where(id: question_ids).find_each do |question|
        ## MKCHANGE: get rid of use of rails scopes
        #no_answer = @questionnaire.responses.valid.no_answer_for(question).count()
        no_answer = @questionnaire.responses.where(""responses.id in (select response_id from answers)"").where(""responses.id not in (select response_id from answers where question_id = ?)"", question.id).count()
        if no_answer > 0
          counts[question.id][""No answer""] = no_answer
        end
      end
    end
    
    return counts
  end"
GraphsController,aggregate_questions,Ret,"","Hash<Number, Hash<String, Number>>","Hash<Number, Hash<String, Number>>",E,Constraints,"def aggregate_questions(question_ids)
    db = RailsSequel.connect
    
    skip_no_answer = params[:skip_no_answer]
          
    ds = db[:answers]
    ds = ds.inner_join(:questions, :id => :answers__question_id)
    ds = ds.inner_join(:pages, :id => :questions__page_id)
    ds = ds.left_join(:question_options, :question_id => :answers__question_id, :option => :answers__value)
    ds = ds.where(:questions__id => question_ids)
    ds = ds.where(:pages__questionnaire_id => @questionnaire.id)
    ds = ds.select(:questions__id, :answers__value, :question_options__output_value)
    
    counts = {}
    ds.each do |db_row|
      question_id = db_row[:id]
      value = (db_row[:output_value] || db_row[:value])
      if value.blank?
        if skip_no_answer
          next
        else
          value = ""No answer""
        end
      end
      
      counts[question_id] ||= {}
      counts[question_id][value] ||= 0
      counts[question_id][value] += 1
    end
    
    unless skip_no_answer
      Question.where(id: question_ids).find_each do |question|
        ## MKCHANGE: get rid of use of rails scopes
        #no_answer = @questionnaire.responses.valid.no_answer_for(question).count()
        no_answer = @questionnaire.responses.where(""responses.id in (select response_id from answers)"").where(""responses.id not in (select response_id from answers where question_id = ?)"", question.id).count()
        if no_answer > 0
          counts[question.id][""No answer""] = no_answer
        end
      end
    end
    
    return counts
  end"
GraphsController,@questions,Var,@questions,ActiveRecord_Relation<Question>,ActiveRecord_Relation<Question>,E,Constraints,""
GraphsController,@counts,Var,@counts,"Hash<Number, Hash<String, Number>>","Hash<Number, Hash<String, Number>>",E,Constraints,""
GraphsController,@min,Var,@min,{ GraphsController# var: @min },Number,N,,""
GraphsController,@max,Var,@max,Page,Number,T,Twin,""
GraphsController,@geom,Var,@geom,Questionnaire,String,T,Twin,""
